clientid,Имя,Фамилия,Телефон,email,Адрес
191,Евстигней,Пономарев,+7 186 708 0185,maksim2019@example.com,"п. Ачхой Мартан, пер. Сибирский, д. 65, 274802"
192,Жанна,Лазарев,8 (560) 857-1668,makar2022@example.org,"к. Серов, ул. Ясная, д. 3 стр. 66, 907010"
193,Мариан,Логинова,8 882 833 9993,teterintverdislav@example.com,"клх Волоколамск, бул. Прудный, д. 6 стр. 15, 793972"
194,Евстигней,Никитина,+72221117167,drozdovataisija@example.org,"г. Орск, алл. Коммуны, д. 8 к. 4, 077104"
195,Арефий,Ситникова,+7 (774) 573-43-74,amvrosidorofeev@example.net,"клх Кажим, бул. Морской, д. 554 к. 5, 773314"
196,Екатерина,Кондратьева,+7 (486) 367-7963,jaroslavvoronov@example.net,"д. Белоярский, ул. Почтовая, д. 720, 749699"
197,Дементий,Одинцова,8 (302) 106-78-78,gorbachevafaina@example.org,"п. Кижи, алл. Карбышева, д. 7/6 стр. 1, 225833"
198,Афанасий,Мельников,8 110 735 76 91,gtihonova@example.com,"клх Холмогоры, ш. Декабристов, д. 335, 145863"
199,Эдуард,Артемьев,+7 810 902 72 02,iljalebedev@example.net,"ст. Канск, ш. Проточное, д. 1/1 к. 824, 920679"
200,Поликарп,Игнатьева,82562591265,ovchinnikovevgraf@example.net,"клх Двинской, ул. Покровская, д. 78 стр. 2, 507008"
201,Филарет,Осипов,8 125 980 87 85,lavrentikapustin@example.com,"д. Жигулевск, ул. Нагорная, д. 8/8 к. 935, 061871"
202,Филарет,Богданова,8 009 226 26 73,bronislavkapustin@example.org,"к. Каменск-Шахтинский, ш. 30 лет Победы, д. 7 стр. 87, 239839"
203,Фома,Тимофеева,+7 925 318 3775,anikita1988@example.com,"клх Усмань, наб. Правды, д. 80 стр. 3, 084744"
204,Артем,Тетерин,89982309244,sorokinaevpraksija@example.com,"к. Ачхой Мартан, алл. Республиканская, д. 8 к. 3, 639992"
205,Велимир,Иванова,8 549 027 7564,jakovlevazinaida@example.net,"к. Минусинск, наб. Владимирская, д. 8/9 стр. 5/4, 115349"
206,Ксения,Кондратьева,+7 687 835 56 99,svjatopolk2004@example.com,"клх Калачинск, пер. Черняховского, д. 4 стр. 14, 511790"
207,Нестор,Игнатьева,+7 829 706 15 18,burovaskold@example.com,"с. Куртамыш, пр. Майский, д. 8/1 к. 3/4, 181707"
208,Терентий,Потапова,+7 905 514 1483,trifon_99@example.org,"д. Владивосток, ул. Азина, д. 1/7, 464541"
209,Милица,Фокин,8 545 888 0962,suhanovrostislav@example.net,"д. Липецк, пр. Славянский, д. 2/6 к. 68, 020975"
210,Евпраксия,Панфилов,+7 (403) 021-3809,stepan_1974@example.net,"п. Неплюевка, наб. Моховая, д. 6 стр. 9/7, 126854"
